Date,Type,Team,Conf.,Opp.,Venue,Adj. O,Adj. D,T,O.EFF,O.eFG%,O.TO%,O.Reb%,O.FTR,D.EFF,D.eFG%,D.TO%,D.Reb%,D.FTR,G-Sc,+/-,Win,Points_For,Points_Against,Point_Differential
2017-11-10,N,Yale,Ivy,Creighton,Away,109.7,108.3,75.2,101.0,51.5,17.3,24.3,15.2,122.3,64.7,14.6,25.0,14.7,53.6,-10,0,92,76,16
2017-11-10,N,Iowa,B10,Chicago St.,Home,109.4,93.3,75.1,126.5,71.2,22.6,35.7,67.3,82.6,42.6,26.6,34.9,29.5,86.1,18,1,95,62,33
2017-11-10,N,Nicholls St.,Slnd,UT Rio Grande Valley,Away,108.8,117.1,97.7,113.6,54.3,21.5,37.5,35.8,108.5,47.8,12.3,36.4,39.3,30.1,-4,1,111,106,5
2017-11-10,N,Rider,MAAC,Hampton,Home,108.7,110.6,75.6,119.0,51.5,11.9,38.0,50.0,99.2,49.2,21.2,26.3,27.0,45.1,0,1,90,75,15
2017-11-10,N,UCF,Amer,Mercer,Home,108.7,101.2,74.9,117.4,58.0,18.7,38.7,66.1,105.4,51.8,18.7,25.0,50.0,69.6,4,1,88,79,9
2017-11-10,N,Lamar,Slnd,Tulsa,Away,108.5,87.2,71.9,102.8,48.3,22.2,36.8,35.6,93.1,50.0,20.8,12.5,45.1,92.5,6,1,74,67,7
2017-11-10,N,Arkansas,SEC,Samford,Home,108.5,75.5,74.8,127.0,64.3,14.7,29.2,34.9,74.9,39.3,25.4,34.9,24.6,98.5,22,1,95,56,39
2017-11-10,N,Virginia,ACC,UNC Greensboro,Home,108.4,81.7,60.0,100.0,47.6,21.7,25.9,57.1,80.0,33.3,28.3,41.0,35.3,96.3,8,1,60,48,12
2017-11-10,N,Northern Kentucky,Horz,East Tennessee St.,Home,108.3,82.1,78.7,102.9,47.7,17.8,26.8,31.8,80.1,38.3,25.4,31.0,40.0,96.1,11,1,81,63,18
2017-11-10,N,Southern Illinois,MVC,Winthrop,Away,108.3,89.5,74.0,109.5,58.2,24.3,36.7,21.3,89.2,44.4,20.3,20.5,50.0,90.0,7,1,81,66,15
2017-11-10,N,Mississippi St.,SEC,Alabama St.,Home,108.2,92.2,80.5,119.2,53.9,17.4,33.3,54.7,84.4,42.5,21.1,30.6,32.8,86.3,21,1,96,68,28
2017-11-10,N,Northern Iowa,MVC,North Carolina,Away,108.2,105.5,69.6,99.2,53.6,20.1,20.0,27.3,123.7,54.8,10.1,29.0,33.9,57.3,-10,0,86,69,17
2017-11-10,N,Washington,P12,Belmont,Home,108.1,102.3,77.4,111.1,57.7,19.4,25.0,69.2,105.9,56.9,20.7,26.5,18.5,65.4,-4,1,86,82,4
2017-11-10,N,Houston,Amer,McNeese St.,Home,108.0,87.2,67.2,120.6,66.7,25.3,41.4,41.2,78.9,34.5,19.3,29.2,41.4,92.1,12,1,81,53,28
2017-11-10,N,Detroit Mercy,Horz,Virginia Tech,Away,107.8,115.2,82.9,95.3,43.6,16.9,27.3,31.4,133.9,61.5,14.5,44.4,37.8,31.9,-10,0,111,79,32
2017-11-10,N,Long Beach St.,BW,San Francisco,Away,107.4,93.7,79.3,104.7,48.3,18.9,22.9,55.2,89.6,44.1,24.0,29.3,44.1,82.7,2,1,83,71,12
